Geography,total units,total sales ($),asp
California,344943094,396510003.6,1.159590468
Great Lakes,220579637.3,252818526,1.150933366
Midsouth,202095519.9,237072632,1.17602451
Northeast,293943835.6,371584447.4,1.275548859
Plains,117012280.1,128365088.4,1.098220378
South Central,384643315,321613573.2,0.84049425
Southeast,260357925.9,289345821.6,1.115345414
West,375315856.7,400121826.9,1.075864435
