Geography,total units,total sales ($),asp
California,289298040.4,380606199.6,1.343624105
Great Lakes,176733865.6,245531991.9,1.41693291
Midsouth,162626311.4,220656604.8,1.364645486
Northeast,224012903.7,333400331.7,1.493699424
Plains,95594208.62,126635448.9,1.345956828
South Central,309062707.3,307958091.1,1.009270101
Southeast,189571609.8,256626712,1.373826224
West,308186364.4,366552239.7,1.207438845
